ID,SUBPRIO,PRIORITY,WARN_TYPE,TIME_OUT,LM,ICON,COLOR,CHIME_TYPE,TEXT
W3532,19,2,SC*,n/a,No,n/a,Amber,No,"Shift to Park
to Start
Vehicle"
W105,20,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,"Passenger Door 
Ajar"
W106,21,2,SC*,n/a,No,L.01,Red,Door Ajar Chime,"Hood
Ajar"
W110,30,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,"Rear Left Door
Ajar"
W115,40,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,"Rear Right Door
Ajar"
W116,40,2,SC*,n/a,No,k.08,Red,Headlamp On Reminder Chime,"Emergency  Rear
Door Ajar"
W117,41,2,SC*,n/a,No,n/a,Red,Door Ajar Chime,"Tailgate
Ajar"
W118,50,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,Door Ajar
W119,60,2,SC*,n/a,No,L.02,Red,Door Ajar Chime,Trunk Ajar
W2090,61,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,"Rear Load
Compartment
Door Ajar"
W1820,71,2,SC*,n/a,Yes,n/a,Neutral,No,"Fuel Door
Opening"
W1821,72,2,SC*,n/a,Yes,n/a,Neutral,No,"Fuel Door
Open"
W1822,73,2,SC*,n/a,Yes,n/a,Neutral,No,"Close
Fuel Door"
W1823,74,2,SC*,n/a,Yes,n/a,Amber,Info,"Refuel Error
See Manual"
W125,80,2,SC*,n/a,No,L.17,Red,Door Ajar Chime,"Liftgate Or 
Liftglass
 Ajar"
W127,80,2,SC*,n/a,No,L.17,Red,Door Ajar Chime,Liftgate Ajar
W140,81,2,SC*,n/a,No,n/a,Red,Hard,"Steering 
Fault
Service Now
"
W141,81,2,SC*,n/a,No,n/a,Red,Hard,"Steering 
Loss
Stop Safely"
W142,81,2,SC*,n/a,No,n/a,Amber,soft,"Steering 
Assist Fault
Service Required"
W502,82,2,SC*,n/a,No,n/a,Amber,No,"Trailer
 Sway
Reduce Speed"
W143,83,2,SC*,n/a,No,n/a,Amber,Info,"Steering Lock
Malfunction
Service Now"
W144,84,2,SC*,n/a,No,n/a,Amber,Info,"Steering Column Lock
Remove and re-insert
key while turning
wheel to unlock"
W145,84,2,SC*,n/a,No,n/a,Amber,Info,"Steering Col. Lock
Turn Wheel while 
Starting vehicle"
W650,85,2,SC*,n/a,Yes,n/a,Amber,Perimeter alarm warning chime,"Vehicle Alarm
To Stop Alarm,
Start Vehicle."
W700,90,2,SC*,n/a,No,F.04,Red,Hard,"Low Engine Oil
Pressure"
W155,100,2,SC*,n/a,No,M.01,Red,Hard,"Check
Charging System"
W3275,101,2,SC*,n/a,No,n/a,Red,soft,"Charging System
Service Soon"
W3276,102,2,SC*,n/a,No,M.01,Red,Hard,"Charging System
Service Now"
W3277,103,2,SC*,n/a,No,n/a,Red,Soft,"Battery
State of Charge
Low"
W710,110,2,SC*,n/a,No,F.03,Red,Hard,"Engine Coolant
Over Temperature"
W710a,110,2,SC*,n/a,No,F.03,Red,Hard,"Motor Coolant
Over Temperature"
W710b,110,2,NR,n/a,No,F.03,Red,Hard,"Engine Coolant
Over Temperature"
W710c,110,2,SC*,n/a,No,tbd.96,Red,Hard,"Motor 
Over Temperature"
W711,111,2,TT/RTT,n/a,No,I.08,Amber,,
W712,112,2,SC*,n/a,No,n/a,Amber,info,"Power Reduced
to Lower
Engine Temp"
W161,114,2,TT/RTT,n/a,No,H.905,n/a,No,
W3405,114,2,RTT,n/a,No,tbd.92,n/a,No,
W162,116,2,TT/RTT,n/a,No,tbd.22,n/a,No,
W200,120,2,SC*,n/a,No,n/a,Red,Hard,"Check Brake
System"
W205,130,2,SC*,n/a,No,n/a,Red,Hard,"Brake Fluid 
Level Low"
W215,140,2,SC*,n/a,No,n/a,Red,Park Brake Warn Chime,Park Brake Engaged
W911,144,2,NR,n/a,No,tbd.35,Neutral,No,"Collision Warning
On
Off"
W910,145,2,NR,n/a,No,tbd.35,Neutral,No,"Collision Warn Chime
On
Off"
W306,153,2,SC*,n/a,No,n/a,Amber,No,"Active Park
Fault"
W345,154,2,NR,n/a,Yes,n/a,Neutral,No,"Alarm
All Sensors
Perimeter Sensing"
W346,155,2,NR,n/a,No,tbd.2,Neutral,No,"Rear Park Aid
On
Off"
W347,155,2,NR,n/a,No,tbd.3,Neutral,No,"Front Park Aid
On
Off"
W157,157,2,SC,n/a,No,tbd.108,Amber,Info,"Rear Park Aid
Not Available 
Sensor Blocked 
See Manual
"
W158,158,2,SC,n/a,No,tbd.109,Amber,Info,"Front Park Aid
Not Available
 Sensor Blocked
 See Manual"
W159,159,2,SC,n/a,No,tbd.110,Amber,Info,"Park Aid
Not Available
Sensor Blocked
See Manual"
W584,160,2,SC*,n/a,No,J.11,Amber,info,"Park Aid
Malfunction"
W350,160,2,SC*,n/a,No,J.11,Amber,No,"Check
Park Aid"
W351,160,2,SC*,n/a,No,J.11,Amber,No,"Check Rear
Park Aid"
W585,160,2,SC*,n/a,No,J.11,Neutral,No,"Park Aid
Malfunction"
W352,160,2,SC*,n/a,No,J.11,Amber,No,"Check Front
Park Aid"
W353,161,2,NR,n/a,No,tbd.2,Neutral,No,"Camera Zoom
On
Off"
W360,170,2,SC*,n/a,No,n/a,Amber,Soft,"Tire Pressure
Sensor Fault"
W380,180,2,SC*,n/a,No,n/a,Amber,Soft,Tire Pressure Low
W381,180,2,SC*,n/a,No,tbd.49,Amber,Soft,"Tire Low 
{Graphic}"
W382,180,2,SC*,n/a,No,tbd.50,Neutral,Soft,"Tire Pressure
{Graphic}"
W1835,181,2,TA*,4,No,n/a,Neutral,No,"EV Now
Not Available"
W1832,182,2,SC*,n/a,No,n/a,Neutral,No,"Press OK
to
Enable Engine"
W1834,183,2,TA*,4,No,n/a,Neutral,No,"EV Now
Battery Powered"
W1833,184,2,TA*,4,No,n/a,Neutral,No,"EV Later
XX% Plug-in energy
reserved"
W1831,185,2,TA*,4,No,n/a,Neutral,No,"Auto EV
Normal Operation"
W1842,186,2,SC*,n/a,No,n/a,Amber,No,"Engine
Enabled
Due to 
Defrost Setting"
W1841,187,2,SC*,n/a,No,n/a,Amber,No,"Engine 
Enabled
for System
Performance"
W1841,187,2,SC*,n/a,No,J.17,Amber,n/a,"Engine 
Enabled
for System
Performance"
W1843,188,2,TA*,4,No,n/a,Neutral,Yes,"Press EV Button
for Full Defrost"
W405,190,2,SC*,n/a,No,n/a,Amber,Soft,"Train Left
Front Tire"
W410,200,2,SC*,n/a,No,n/a,Amber,Soft,"Train Right
Front Tire"
W201,201,2,SC*,n/a,No,n/a,Amber,Soft,"Brake Pad
Wear
Service Now"
W3563,80,1,NR,n/a,No,tbd.112,Red,Yes,"Keep Hands
on
Steering Wheel"
W3564,204,2,SC*,n/a,No,tbd.113,Amber,No,"Traffic Jam
Assist
Not Available"
W3565,205,2,SC*,n/a,No,tbd.113,Neutral,No,"For Traffic Jam Assist to work 
Turn On Adaptive Cruise"
W415,210,2,SC*,n/a,No,n/a,Amber,Soft,"Train Right
Rear Tire"
W417,215,2,SC*,n/a,No,n/a,Amber,Soft,"Train Outer
Right Rear
Tire"
W418,220,2,SC*,n/a,No,n/a,Amber,Soft,"Train Inner
Right Rear
Tire"
W420,230,2,SC*,n/a,No,n/a,Amber,Soft,"Train Left
Rear Tire"
W422,235,2,SC*,n/a,No,n/a,Amber,Soft,"Train Outer
Left Rear
Tire"
W423,240,2,SC*,n/a,No,n/a,Amber,Soft,"Train Inner
Left Rear
Tire"
W430,260,2,SC*,n/a,No,n/a,Amber,Soft,"Training
Complete"
W435,270,2,SC*,n/a,No,n/a,Amber,Soft,"Tires Not
Trained - Repeat"
W440,280,2,SC*,n/a,No,n/a,Amber,Soft,"Tire Pressure
Monitor Fault"
W441,281,2,SC*,n/a,No,tbd.4,Amber,Cross Traffic Alert Chime,"Vehicle Coming
From Left"
W442,282,2,SC*,n/a,No,tbd.5,Amber,Cross Traffic Alert Chime,"Vehicle Coming
From Right"
W443,283,2,SC*,n/a,No,tbd.15,Amber,info,"Blindspot
System Fault"
W447,283,2,TT/RTT,n/a,No,tbd.15,Amber,No,
W444,284,2,SC*,n/a,No,tbd.4,Amber,info,"Cross Traffic
System Fault"
W445,285,2,SC*,n/a,No,n/a,Amber,info,"Blindspot
Not Available
Sensor Blocked
See Manual"
W446,286,2,SC*,n/a,No,n/a,Amber,info,"Cross Traffic
Not Available
Sensor Blocked
See Manual"
W2200,287,2,SC*,n/a,No,tbd.111,Red,No,"Cross Traffic Alert
Applying
Brakes"
W2201,288,2,SC*,n/a,No,tbd.111,Amber,Yes,"Cross Traffic Alert
"
W1817,291,2,SC,n/a,No,tbd.16,Red,Hard,"Depleted Battery
Stop safely now"
W1817a,291,2,SC*,n/a,No,tbd.16,Red,Hard,Depleted Battery
W1816,292,2,SC,n/a,No,tbd.16,Amber,info,"Low Battery
Reduce Climate use
for more range"
W1815,293,2,SC,n/a,No,tbd.16,Amber,info,Low Battery
W295,301,2,RTT,n/a,No,tbd.7,Neutral,No,
W296,302,2,SC*,n/a,No,tbd.8,Neutral,No,Seatbelts 
W297,303,2,SC*,n/a,No,n/a,Amber,Rear seat beltminder,"Rear Belt Monitor
Malfunction
Service Required"
W298,304,2,SC*,n/a,No,tbd.8,Amber,Rear seat beltminder,Seatbelts Warning
W1804,306,2,SC*,n/a,No,J.17,Red,Hard,"Severely Limited
Performance
Due to cold battery"
W1806,307,2,SC*,n/a,No,J.17,Red,Hard,"Severely Limited
Performance
Due to hot battery"
W1803,308,2,SC*,n/a,No,J.17,Amber,info,"Limited Performance
Due to cold battery"
W224,309,2,SC*,n/a,No,"G.01
Amber",Amber,info,"Fuel Level Low
XZ Miles to Empty"
W225,309,2,SC*,n/a,No,"G.01
Amber",Amber,info,"Fuel Level Low
XXZ km to Empty"
W226,309,2,SC*,n/a,No,"G.01
Amber",Amber,info,Fuel Level Low
W226a,309,2,SC*,n/a,No,"G.01
Amber",Amber,info,Fuel Level Low
W1805,311,2,SC*,n/a,No,J.17,Amber,info,"Limited Performance
Due to hot battery"
W1018,313,2,SC*,n/a,No,n/a,Amber,No,"AWD
Temporarily
Disabled"
W1019,313,2,SC*,n/a,No,n/a,Amber,No,"4x4
Temporarily
Disabled"
W1020,313,2,SC*,n/a,No,n/a,Amber,No,"4WD
Temporarily
Disabled"
W1021,314,2,SC*,n/a,No,n/a,Amber,No,"AWD
Restored"
W1022,314,2,SC*,n/a,No,n/a,Amber,No,"4x4
Restored"
W1023,314,2,SC*,n/a,No,n/a,Amber,No,"4WD
Restored"
W725,315,2,SC*,n/a,No,X.936,Amber,No,"Check
4x4"
W1024,316,2,SC*,n/a,No,X.936,Amber,No,"4WD
Malfunction
Service Required"
W726,316,2,SC*,n/a,No,X.936,Amber,No,"AWD
Malfunction
Service Required"
W727,317,2,SC*,n/a,No,n/a,Amber,No,"AWD
OFF"
W728,318,2,SC*,n/a,No,n/a,Amber,No,4x4 OFF
W1025,318,2,SC*,n/a,No,n/a,Amber,No,4WD OFF
W745,319,2,SC*,n/a,No,n/a,Amber,No,Check Locking Differential
W730,320,2,SC*,n/a,No,X.936,Amber,No,See Manual
W730a,320,2,SC*,n/a,No,M.210,red,No,See Manual
W1010,321,2,SC*,n/a,No,n/a,Amber,Soft,"Front Camera
Malfunction
Service Required"
W1011,322,2,SC*,n/a,No,n/a,Amber,Info,"Front Camera
Temporarily
Not Available"
W1012,323,2,SC*,n/a,No,n/a,Amber,Info,"Front Camera
Low Visibility
Clean Screen"
W1013,324,2,SC*,n/a,No,n/a,Amber,Soft,"Lane Keeping Sys.
Malfunction
Service Required"
W1014a,325,2,SC*,n/a,No,n/a,Amber,info,"Keep Hands
on
Steering Wheel"
W1014,325,2,SC*,n/a,No,n/a,Amber,No,"Keep Hands
on
Steering Wheel"
W1016,327,2,SC*,n/a,No,tbd.17,Red,Hard,"Driver Alert
Warning
Rest Now"
W1017,328,2,SC*,n/a,No,tbd.17,Amber,Soft,"Driver Alert
Warning
Rest Suggested"
W450,330,2,TA,10,No,C.05,Amber,No,"Washer Fluid 
Level Low"
W663,334,2,SC*,n/a,No,n/a,Amber,Soft,"Reduced Engine
Power"
W470,340,2,SC*,n/a,No,F.915,Amber,No,"Oil Change
Required"
W475,350,2,SC*,n/a,No,F.915,Amber,No,"Change Engine
Oil Soon"
W477,360,2,SC*,n/a,No,n/a,Amber,info,"Oil Level
Low
Add Oil"
W505,370,2,SC*,n/a,No,n/a,Amber,info,"Trailer Wiring
Fault"
W510,380,2,SC*,n/a,No,n/a,Amber,info,"Trailer Brake Module
Fault"
W515,390,2,SC*,n/a,No,n/a,Amber,info,Trailer Disconnected
W518,392,2,TA,4,No,n/a,Neutral,info,Trailer Connected
W520,395,2,SC*,n/a,No,n/a,Neutral,info,Trailer Brake Gain: XZ.Z
W522,397,2,SC*,n/a,No,n/a,Neutral,info,"Trailer Brake Gain: XZ.Z
No Trailer"
W524,398,2,SC*,n/a,No,n/a,Neutral,info,"Trailer Brake 
Gain: XZ.Z
{GRAPHIC}
Output"
W1870,400,2,SC*,n/a,No,n/a,Amber,info,"Trailer Lighting Module
Fault
See Manual"
W1871,401,2,SC*,n/a,No,n/a,Amber,info," Trailer Stop Lamps
Fault
Check Lamps"
W1872,402,2,SC*,n/a,No,n/a,Amber,info,"Trailer Left Turn Lamps
Fault
Check Lamps"
W1873,403,2,SC*,n/a,No,n/a,Amber,info,"Trailer Right Turn Lamps
Fault
Check Lamps"
W1874,404,2,SC*,n/a,No,n/a,Amber,info,"Trailer Park Lamps
Fault
Check Lamps"
W1875,405,2,SC*,n/a,No,n/a,Amber,info,"Trailer Battery
Not Charging
See Manual"
W427,427,2,TA,4,No,n/a,Amber,No,"Hill Start
Assist Active"
W428,428,2,TA,4,No,n/a,Amber,No,"Hill Start
Assist Off"
W429,429,2,TA,10,No,n/a,Amber,soft,"Hill Start
Assist 
Not Available"
W582,430,2,TA,4,No,n/a,Amber,memory feedback,"Hill Start
Assist Off"
W462,462,2,SC*,n/a,No,n/a,Amber,No,Normal Mode
W463,463,2,SC*,n/a,No,n/a,Amber,No,Crash Mode
W471,471,2,TA,4,No,n/a,Amber,No,"Service Oil
Reset Complete"
W472,472,2,TA,4,No,n/a,Amber,No,"Service Oil
Reset in Progress"
W489,489,2,SC*,n/a,No,n/a,Amber,No,"Factory Mode
Paused"
W490,490,2,SC*,n/a,No,n/a,Amber,No,"Transport Mode
Paused"
W540,500,2,SC*,n/a,No,n/a,Amber,No,"Check Headlamp
System
See Manual"
W541,541,2,TA,4,No,tbd.12,Neutral,No,"Instrument
Dimming"
W542,542,2,TA,4,No,tbd.13,Neutral,No,"Instrument
Dimming"
W543,543,2,TA,4,No,tbd.13,Neutral,No,"Instrument
Dimming"
W589,589,2,TA,4,No,n/a,Neutral,No,Engine Start Pending. Please Wait.
W590,590,2,TA,4,No,n/a,Amber,No,"Engine Start
Pending
Please Wait"
W591,591,2,TA,4,No,n/a,Amber,No,"Pending Start
Cancelled"
W1800,597,2,SC*,n/a,Yes,M.10,Amber,info,"Is Vehicle Plugged In ?
Yes
No"
W1801,598,2,TA,4,Yes,M.10,Amber,info,"Unplug Prior
to Starting
Vehicle"
W1802,599,2,RTT,n/a,No,M.10,Amber,No,
W600,600,2,TA,4,No,n/a,Amber,No,"To START
Press Brake"
W601,601,2,TA,4,No,n/a,Amber,No,"To START
Press Brake
and Clutch"
W602,602,2,NR,n/a,Yes,n/a,Amber,No,"Remote Start
Active"
W603,603,2,NR,n/a,Yes,n/a,Amber,No,"To Drive:
Turn Key
to On"
W2100,604,2,NR,n/a,Yes,n/a,Amber,No,"To Drive:
Press Brake
and Gear
Shift Button"
W604,604,2,NR,,Yes,n/a,Amber,No,"To Drive:
Press Brake
and
Start Button"
W604a,604,2,TA,10,Yes,n/a,Amber,No,"To Drive:
Press Brake
and
Start Button"
W613,604,2,NR,n/a,Yes,n/a,Amber,No,"To Drive:
Press
Start Button"
W607,607,2,NR,n/a,Yes,n/a,Neutral,info,"Press Brake
to Unlock
Gearshift Lever"
W608,608,2,NR,n/a,Yes,n/a,Neutral,info,"Gearshift Lever
Unlocked"
W609,609,2,TA,4,No,n/a,Amber,No,"To START
Press Clutch"
W610,610,2,TA,4,Yes,n/a,Amber,info,No Key Detected
W611,611,2,TA,4,No,n/a,Amber,No,"Cranking Time
Exceeded"
W612,612,2,SC*,n/a,Yes,n/a,Amber,soft,"Vehicle
Switched Off"
W615,615,2,SC*,n/a,Yes,n/a,Amber,info,No Key Detected
W620,620,2,NR,n/a,Yes,n/a,Amber,info,"Restart Now
or Key is Needed"
W625,625,2,NR,n/a,Yes,n/a,Amber,info,"Accessory Power
is Active"
W626,626,2,SC*,n/a,No,n/a,Amber,No,"Full Accessory
Power Active"
W630,630,2,TA,4,Yes,n/a,Amber,info,"Starting System
Fault"
W635,635,2,TA,4,Yes,n/a,Amber,info,"Key Programmed
3 Keys Total"
W636,636,2,TA,4,Yes,n/a,Amber,No,"Key Program
Successful"
W640,640,2,TA,4,Yes,n/a,Amber,info,"Key Programmed
4 Keys Total"
W641,641,2,TA,4,Yes,n/a,Amber,No,"Key Program
Failure"
W645,645,2,TA,4,Yes,n/a,Amber,No,"Max Number of
Keys Learned"
W1497,646,2,NR,n/a,Yes,n/a,Red,dedicated,"Accessory Power
is Active"
W1494,647,2,SC*,n/a,Yes,n/a,Amber,soft,"Steering Lock
Malfunction
Service Now"
W1495,648,2,SC*,n/a,No,n/a,Red,Hard,"Steering Lock
Malfunction
Stop Safely"
W648,648,2,TA,4,Yes,n/a,Amber,No,"Not Enough 
Keys Learned"
W1498,649,2,SC*,n/a,No,n/a,Red,dedicated,"Key Not
Inside vehicle"
W1245,650,2,TA,10,Yes,n/a,Amber,soft,"Key Inside
vehicle"
W1496,651,2,TA,10,Yes,n/a,Neutral,No,"No Key
Detected"
W1499,652,2,TA,10,Yes,n/a,Neutral,No,"To START
Press Brake"
W1500,653,2,SC*,n/a,No,n/a,Amber,info,"Steering Column Lock
Remove and re-insert
key while turning
wheel to unlock"
W1502,654,2,TA,10,No,n/a,Neutral,No,"To START
Press Clutch"
W1630,655,2,TA,10,Yes,TBD.53,Neutral,No,"Place Key in
Backup Location"
W1630b,655,2,TA,10,Yes,tbd.20,Neutral,No,"Key Not Detected
Place Key as Shown"
W654,656,2,SC*,n/a,No,n/a,Red,hard,"Exhaust Filter
Over Limit
Service Now"
W653,656,2,SC*,n/a,No,n/a,Amber,info,"Exhaust Filter
At Limit
Clean Now"
W656,656,2,SC*,n/a,No,n/a,Amber,info,"Exhaust Filter 
Overloaded
Clean Now"
W657,657,2,SC*,n/a,No,n/a,Amber,No,"Exhaust Filter
Full
Clean Soon"
W658,658,2,SC*,n/a,No,F.923,Amber,info,"Auto Exhaust
Cleaning OFF"
W2000,659,2,SC*,n/a,No,n/a,Red,hard,"Exhaust Filter
at Limit
Drive to Clean Now"
W660,660,2,SC*,n/a,No,n/a,Amber,info,"Exhaust Filter
Overloaded
Drive to Clean"
W661,661,2,SC*,n/a,No,n/a,Neutral,No,"
Exhaust Filter
Cleaning"
W662,662,2,TA,4,No,n/a,Neutral,No,"Exhaust Filter
Drive Complete"
W665,665,2,SC*,n/a,No,n/a,Amber,info,"Vehicle Shuts Off 
In XX Seconds"
W667,667,2,SC*,n/a,No,n/a,Amber,info,"Vehicle Shut Off 
to Save Energy"
W668,668,2,SC*,n/a,No,n/a,Amber,info,"Vehicle Shuts Off 
in XX Seconds
Press Ok to Override"
W669,669,2,SC*,n/a,No,n/a,Amber,soft,"Fuel Tank Empty
Engine will Shut Off
in XX Seconds"
W701,701,2,SC*,n/a,No,n/a,Neutral,No,"Fuel Freshness
Engine may run
to maintain
fuel freshness"
W702,702,2,SC*,n/a,No,n/a,Neutral,No,"Engine On
Due to Low Use
Normal Operation"
W705,705,2,SC*,n/a,No,n/a,Amber,No,"Engine Warming
Please Wait
XX sec"
W714,714,2,SC*,n/a,No,n/a,Neutral,No,"Engine Warming
Power Reduced"
W715,715,2,TA*,4,No,n/a,Neutral,No,Ready to Drive
W718,718,2,SC*,n/a,No,n/a,Amber,info,"Exhaust Filter
Cleaned"
W719,719,2,SC*,n/a,No,n/a,Amber,info,"Exhaust Filter Cleaning
Stopped"
W771,771,2,SC*,n/a,No,n/a,Amber,No,"Low Battery
Features Temporarily Turned Off"
W772,772,2,SC*,n/a,No,n/a,Amber,No,"Turn Power Off
To Save Battery"
W820,800,2,SC*,n/a,No,k.15,Amber,Info,"Collision Warning
Malfunction"
W823,802,2,SC*,n/a,No,n/a,Amber,Info,"Collision Warning
Not Available
Sensor Blocked
See Manual"
W821,804,2,SC*,n/a,No,k.15,Amber,Info,"Collision Warning
Not Available"
W814,90,1,SC*,n/a,No,n/a,Amber,No,"Adaptive Cruise
Not Available"
W816,816,2,SC*,n/a,No,n/a,Amber,No,"Adaptive Cruise
Malfunction"
W818,818,2,SC*,n/a,No,n/a,Amber,No,"Adaptive Cruise
Not Available
Sensor Blocked
See Manual"
W2060,823,2,TT/RTT,n/a,No,J.09,Green,,
W2061,824,2,TT/RTT,n/a,No,J.08,Green,,
W2113,825,2,TT/RTT,n/a,No,tbd.41,Green,,
W729,829,2,SC*,n/a,No,n/a,Amber,,"Shift Delayed
Pull Forward"
W731,831,2,SC*,n/a,No,n/a,Amber,,"For 4x4 LOW
Slow to 3 MPH"
W741,831,2,SC*,n/a,No,n/a,Amber,,"For 4x4 LOW
Slow to 5 km/h"
W732,832,2,SC*,n/a,No,n/a,Amber,,"For 4x4 LOW
Apply Brake"
W733,833,2,SC*,n/a,No,n/a,Amber,,"For 4x4 LOW
Shift to N"
W734,834,2,SC*,n/a,No,n/a,Amber,,"For 4x4 LOW
Apply Clutch"
W735,835,2,SC*,n/a,No,n/a,Amber,,"To Exit 4x4 LOW
Slow to 3 MPH"
W742,835,2,SC*,n/a,No,n/a,Amber,,"To Exit 4x4 LOW
Slow to 5 km/h"
W736,836,2,SC*,n/a,No,n/a,Amber,,"To Exit 4x4 LOW
Apply Brake"
W737,837,2,SC*,n/a,No,n/a,Amber,,"To Exit 4x4 LOW
Shift to N"
W738,838,2,SC*,n/a,No,n/a,Amber,,"To Exit 4x4 LOW
Apply Clutch"
W739,839,2,SC*,n/a,No,n/a,Amber,,4x4 Shift in Progress
W740,840,2,TT/RTT,n/a,No,tbd.30,Amber,,
W750,845,2,TT/RTT,n/a,No,tbd.31,Amber,,
W850,850,2,TA*,4,No,n/a,Amber,No,"Could Not Program
Integrated Key"
W851,851,2,,,,n/a,Neutral,No,"MyKey not
Created"
W769,865,2,SC*,n/a,No,n/a,Amber,info,"Low Fuel
Pressure"
W770,870,2,SC*,n/a,No,G.10,Amber,No,"Water in Fuel
Drain Filter"
W780,880,2,SC*,n/a,No,G.12,Amber,No,"Check Fuel
Cap"
W781,881,2,SC*,n/a,No,n/a,Amber,No,"Check Fuel Fill
Inlet"
W3350,884,2,SC*,n/a,No,M.12,Neutral,No,Ready to Drive
W3350a,884,2,SC*,n/a,No,tbd.95,Neutral,No,Ready to Drive
W1810,884,2,TA*,4,No,M.12,Neutral,No,Ready to Drive
W1810a,884,2,TA*,4,No,tbd.95,Neutral,No,Ready to Drive
W3351,885,2,SC*,n/a,No,M.12,Neutral,No,"Ready to Drive
Budget set to XXX mi"
W3351a,885,2,SC*,n/a,No,tbd.95,Neutral,No,"Ready to Drive
Budget set to XXX mi"
W1813,885,2,TA,4,No,M.12,Neutral,No,"Ready to Drive
Budget set to XXX mi"
W1813a,885,2,TA,4,No,tbd.95,Neutral,No,"Ready to Drive
Budget set to XXX mi"
W3352,886,2,SC*,n/a,No,M.12,Neutral,No,"Ready to Drive
Budget set to XXX km"
W3352a,886,2,SC*,n/a,No,tbd.95,Neutral,No,"Ready to Drive
Budget set to XXX km"
W1814,886,2,TA,4,No,M.12,Neutral,No,"Ready to Drive
Budget set to XXX km"
W1814a,886,2,TA,4,No,tbd.95,Neutral,No,"Ready to Drive
Budget set to XXX km"
W1811,887,2,TA,4,No,n/a,Neutral,No,Budget set to XXX mi
W1812,888,2,TA,4,No,n/a,Neutral,No,Budget set to XXX km
W790,889,2,TT/RTT,n/a,No,tbd.32,Amber,,
W785,890,2,TT/RTT,n/a,No,tbd.29,Amber,,
W3353,892,2,SC*,n/a,No,M.12,Neutral,No,"Ready to Drive
XXX% Charged"
W3353a,892,2,SC*,n/a,No,tbd.95,Neutral,No,"Ready to Drive
XXX% Charged"
W3570,900,2,TA*,10,No,n/a,Neutral,Yes,Turn Off\nTraction Control\nTo Aid in Gettting\nUnstuck?\nYes\nNo
W901,901,2,TA*,4,No,J.15,Amber,No,"Traction Control
Off"
W902,902,2,TA*,4,No,n/a,Amber,No,"AdvanceTrac
SPORT MODE"
W903,903,2,TA*,4,No,J.15,Amber,No,"AdvanceTrac
Off"
W904,904,2,TA*,4,No,n/a,Amber,No,"AdvanceTrac
On"
W905,905,2,SC*,n/a,No,n/a,Amber,No,"Service Tire
Mobility Kit"
W906,906,2,TA*,4,No,n/a,Amber,No,"Traction Control
On"
W3567,910,2,TA*,4,No,n/a,Amber,No,Wet/Icy Mode\nOn
W3568,911,2,TA*,4,No,n/a,Amber,No,Wet/Icy Mode\nOff
W2500,920,2,TA*,4,No,n/a,Amber,No,"AdvanceTrac On - 
MyKey Setting"
W2501,921,2,TA*,4,No,n/a,Amber,No,"Traction Control On -
MyKey Setting"
W860,930,2,TA,2,No,n/a,Amber,info,"MyKey Active
Drive Safely"
W862,931,2,TA,4,No,n/a,Amber,info,"Speed Limited
to 80 MPH"
W863,931,2,TA,4,No,n/a,Amber,info,"Speed Limited
to YYY MPH"
W864,932,2,TA,4,No,n/a,Amber,info,"Speed Limited
to 130 km/h"
